building_name,building_address,building_description,building_units_available,apt_type,apt_rent,apt_footage
"1820 T Street, NW #4","1820 T Street Northwest, Washington, DC","1820 T Street, NW #4 Available 09/10/20 Bright 2 Bedroom Apartment in Dupont Neighborhood Parking Available  - This two bedrooms/one bath apartment features hardwood floors, stacked washer/dryer, built-in shelving in the living room, operational ",1 Unit Available,1 Bedroom,Ask,NA
"1820 T Street, NW #4","1820 T Street Northwest, Washington, DC","1820 T Street, NW #4 Available 09/10/20 Bright 2 Bedroom Apartment in Dupont Neighborhood Parking Available  - This two bedrooms/one bath apartment features hardwood floors, stacked washer/dryer, built-in shelving in the living room, operational ",1 Unit Available,2 Bedrooms,"$2,700",791 sqft
2120 Vermont Ave NW Unit 106,"2120 Vermont Avenue Northwest, Washington, DC","2120 Vermont Ave NW Unit 106 Available 09/08/20 Stylish Shaw High-Rise, Parking Included! - Situated in an ultra-modern building featuring tons of glass accenting, this unit has everything a modern city dweller could want! The space pops from ",1 Unit Available,Studio,Ask,NA
2120 Vermont Ave NW Unit 106,"2120 Vermont Avenue Northwest, Washington, DC","2120 Vermont Ave NW Unit 106 Available 09/08/20 Stylish Shaw High-Rise, Parking Included! - Situated in an ultra-modern building featuring tons of glass accenting, this unit has everything a modern city dweller could want! The space pops from ",1 Unit Available,1 Bedroom,Ask,NA
2120 Vermont Ave NW Unit 106,"2120 Vermont Avenue Northwest, Washington, DC","2120 Vermont Ave NW Unit 106 Available 09/08/20 Stylish Shaw High-Rise, Parking Included! - Situated in an ultra-modern building featuring tons of glass accenting, this unit has everything a modern city dweller could want! The space pops from ",1 Unit Available,2 Bedrooms,"$3,200",850 sqft
3306 9th Street NE Unit 1,"3306 9th Street Northeast, Washington, DC","3306 9th Street NE Unit 1 Available 09/04/20 Stunning and Spacious Duplex in Brookland w/ Parking!  - This 3 bedroom, 2.5 bathroom duplex on Brookland boasts over 1600 square feet, with plenty of room to spread out over 2 levels.",1 Unit Available,3 Bedrooms,"$3,400",1600 sqft
2300 18th St NW Unit 204,"2300 18th Street Northwest, Washington, DC","2300 18th St NW Unit 204 Available 09/11/20 One-Bedroom in Adams Morgan! Parking Spot Available!  - Situated right on 18th Street, the location of this spacious one-bedroom cannot be beaten! The shining hardwood flooring extends throughout the ",1 Unit Available,Studio,Ask,NA
2300 18th St NW Unit 204,"2300 18th Street Northwest, Washington, DC","2300 18th St NW Unit 204 Available 09/11/20 One-Bedroom in Adams Morgan! Parking Spot Available!  - Situated right on 18th Street, the location of this spacious one-bedroom cannot be beaten! The shining hardwood flooring extends throughout the ",1 Unit Available,1 Bedroom,"$2,195",834 sqft
2630 Adams Mill Rd NW Unit #2,"2630 Adams Mill Road Northwest, Washington, DC",One Bedroom Overlooking Walter Pierce Park - One Bedroom/One Bath Terrace Condominium facing courtyard and Walter Pierce Park available for immediate move in.,1 Unit Available,Studio,Ask,NA
2630 Adams Mill Rd NW Unit #2,"2630 Adams Mill Road Northwest, Washington, DC",One Bedroom Overlooking Walter Pierce Park - One Bedroom/One Bath Terrace Condominium facing courtyard and Walter Pierce Park available for immediate move in.,1 Unit Available,1 Bedroom,"$1,925",566 sqft
2426 Ontario Road NW #202,"2426 Ontario Road Northwest, Washington, DC","Beautiful and Spacious, 1 bedroom/1 bathroom condo in the heart of Adams Morgan - Beautiful, Cozy and Spacious, 1 bedroom/1 bathroom condo in the heart of Adams Morgan: Open kitchen with breakfast bar granite counter top w/ stainless steel ",1 Unit Available,1 Bedroom,"$2,200",569 sqft
"1312 Massachusetts Avenue, NW #804","1312 Massachusetts Avenue Northwest, Washington, DC","1312 Massachusetts Avenue, NW #804 Available 09/01/20 Conveniently located 1 bedroom w/ den Apt.  - Enjoy this cozy, 1 bedroom plus den apartment inside The Midtown.",1 Unit Available,1 Bedroom,"$2,499",746 sqft
"1312 Massachusetts Avenue, NW #804","1312 Massachusetts Avenue Northwest, Washington, DC","1312 Massachusetts Avenue, NW #804 Available 09/01/20 Conveniently located 1 bedroom w/ den Apt.  - Enjoy this cozy, 1 bedroom plus den apartment inside The Midtown.",1 Unit Available,2 Bedrooms,Ask,NA
424 11th St NE Unit 102,"424 11th Street Northeast, Washington, DC","424 11th St NE Unit 102 Available 09/05/20 Boutique Living off H Street!  - This charming two-bedroom is ideally located between the H Street corridor and Capitol Hill, making it the perfect spot to call your next Nest! Situated in an adorable ",1 Unit Available,2 Bedrooms,"$2,395",900 sqft
1211 13th St NW T2,"1211 13th Street Northwest, Washington, DC","Logan Circle Living - This light-filled one bedroom apartment with included parking is now available and it's waiting for you!

Maple cabinets, granite counters, and, oh yes, stainless appliances make sure the kitchen is up to date and on trend.",1 Unit Available,1 Bedroom,"$2,550",725 sqft
1211 13th St NW T2,"1211 13th Street Northwest, Washington, DC","Logan Circle Living - This light-filled one bedroom apartment with included parking is now available and it's waiting for you!

Maple cabinets, granite counters, and, oh yes, stainless appliances make sure the kitchen is up to date and on trend.",1 Unit Available,2 Bedrooms,Ask,NA
"1327 Trinidad Avenue, NE  House","1327 Trinidad Avenue Northeast, Washington, DC","Spacious Row House In Trinidad  - This 1800 sqft home is nestled in the Trinidad neighborhood. The home features a large front porch, garden and rear parking/patio.",1 Unit Available,4 Bedrooms,"$3,700",100 sqft
1954 Columbia Rd NW Unit 312,"1954 Columbia Road Northwest, Washington, DC","Classy Studio in Coveted Location! $300 Off First Month's Rent! - Welcome to your next Nest! High ceilings, an open floor plan, and oversized windows make this studio feel big and bright.",1 Unit Available,Studio,"$1,550",400 sqft
1954 Columbia Rd NW Unit 312,"1954 Columbia Road Northwest, Washington, DC","Classy Studio in Coveted Location! $300 Off First Month's Rent! - Welcome to your next Nest! High ceilings, an open floor plan, and oversized windows make this studio feel big and bright.",1 Unit Available,1 Bedroom,Ask,NA
"4621 9th Street, NW","4621 9th Street Northwest, Washington, DC","4621 9th Street, NW Available 09/12/20 Spacious Townhouse in Petworth 4 Bedrooms with Parking - Spacious Townhouse offers the best Petworth has to offer!  Great living area with hardwood floors takes you to Four bedrooms to choose from with ",1 Unit Available,4 Bedrooms,"$3,000",100 sqft
1350 Maryland Ave NE  Unit 210,"1350 Maryland Avenue Northeast, Washington, DC","1350 Maryland Ave NE  Unit 210 Available 09/01/20 - This spacious light filled home is located in the coveted H Street corridor.
The unit is a 1bedroom w/den (easily a second bedroom) w/two full baths.",1 Unit Available,1 Bedroom,Ask,NA
1350 Maryland Ave NE  Unit 210,"1350 Maryland Avenue Northeast, Washington, DC","1350 Maryland Ave NE  Unit 210 Available 09/01/20 - This spacious light filled home is located in the coveted H Street corridor.
The unit is a 1bedroom w/den (easily a second bedroom) w/two full baths.",1 Unit Available,2 Bedrooms,"$2,700",845 sqft
1300 N St NW #512,"1300 N Street Northwest, Washington, DC","Great Studio in Logan Circle  - Wonderful studio in sought After Logan Circle neighborhood. Bright and spacious open layout, built-in Murphy bed with overhead storage. Large walk-in closet. Hardwood floors. Gas range.",1 Unit Available,Studio,"$1,650",385 sqft
1300 N St NW #512,"1300 N Street Northwest, Washington, DC","Great Studio in Logan Circle  - Wonderful studio in sought After Logan Circle neighborhood. Bright and spacious open layout, built-in Murphy bed with overhead storage. Large walk-in closet. Hardwood floors. Gas range.",1 Unit Available,1 Bedroom,Ask,NA
1300 N St NW #512,"1300 N Street Northwest, Washington, DC","Great Studio in Logan Circle  - Wonderful studio in sought After Logan Circle neighborhood. Bright and spacious open layout, built-in Murphy bed with overhead storage. Large walk-in closet. Hardwood floors. Gas range.",1 Unit Available,2 Bedrooms,Ask,NA
437 New York Ave #510,"437 New York Avenue Northwest, Washington, DC","Fully Furnished 2bed/2bath with Parking  - Stunning corner unit at the industrial chic Yale Steam building perfectly situated at 4th & NY Ave NW. Boasting over 1,000sq/ft of interior living space, with an expansive private terrace.",1 Unit Available,Studio,Ask,NA
437 New York Ave #510,"437 New York Avenue Northwest, Washington, DC","Fully Furnished 2bed/2bath with Parking  - Stunning corner unit at the industrial chic Yale Steam building perfectly situated at 4th & NY Ave NW. Boasting over 1,000sq/ft of interior living space, with an expansive private terrace.",1 Unit Available,1 Bedroom,Ask,NA
437 New York Ave #510,"437 New York Avenue Northwest, Washington, DC","Fully Furnished 2bed/2bath with Parking  - Stunning corner unit at the industrial chic Yale Steam building perfectly situated at 4th & NY Ave NW. Boasting over 1,000sq/ft of interior living space, with an expansive private terrace.",1 Unit Available,2 Bedrooms,"$3,600",1100 sqft
"2815 Cortland Place, NW","2815 Cortland Place Northwest, Washington, DC","Wonderful Woodley Park Semi-detached 3 bed 3 1/2 bath Home w/Patio & Garage! - Walk to the Zoo! This exquisite 3 bed 3 1/2 bath semi-detached home is sure to check a lot of boxes off your list!
On the lower level, the home features a rec room or ",1 Unit Available,3 Bedrooms,"$4,430",1368 sqft
"1825 T Street, NW #103","1825 T Street Northwest, Washington, DC",Stunning Studio on T Street! - This studio is located in The Meredith off of 19th and T street in NW DC.,1 Unit Available,Studio,"$1,650",356 sqft
"1825 T Street, NW #103","1825 T Street Northwest, Washington, DC",Stunning Studio on T Street! - This studio is located in The Meredith off of 19th and T street in NW DC.,1 Unit Available,1 Bedroom,Ask,NA
1908 T St NW Unit B,"1908 T Street Northwest, Washington, DC",1908 T St NW Unit B Available 09/01/20 FAB DUPLEX IN DUPONT w/ PARKING! - This gorgeous row end offers tons of light and a gracious open floor plan for dinning and entertaining. Each bedroom provides expansive windows and closet space.,1 Unit Available,2 Bedrooms,"$3,500",1920 sqft
"4314 12th Street, NE","4314 12th Street Northeast, Washington, DC","Semi-detached Brookland home, 3 Bedroom/ 2 Bathroom w/ parking and bonus den/sun rooms - Nestled in a residential neighborhood, this semi-detached home has a beautiful front porch and expansive yard.",1 Unit Available,3 Bedrooms,"$3,250",1470 sqft
"1323 Clifton Street, NW #12","1323 Clifton Street Northwest, Washington, DC",Remarkable 1 Bed 1 bath in Columbia Heights with Balcony! - A remarkable 1 bedroom/1 bath at the Clifton Heights Condominiums. The unit is within walking distances of both Columbia Heights metro and U Street Corridor metro.,1 Unit Available,1 Bedroom,"$1,950",600 sqft
"1323 Clifton Street, NW #12","1323 Clifton Street Northwest, Washington, DC",Remarkable 1 Bed 1 bath in Columbia Heights with Balcony! - A remarkable 1 bedroom/1 bath at the Clifton Heights Condominiums. The unit is within walking distances of both Columbia Heights metro and U Street Corridor metro.,1 Unit Available,2 Bedrooms,Ask,NA
"1220 Eton Court, NW","1220 Eton Ct NW, Washington, DC","$4000 / 3br - 1382ft2 - Located in the heart of Georgetown (1220 Eton Ct NW) - This spacious 3 bedroom, 2.5 bath townhouse is just steps away from restaurants, shops, the Kennedy Center and Georgetown waterfront.",1 Unit Available,3 Bedrooms,"$4,000",1382 sqft
1420 N Street NW #511,"1420 N Street Northwest, Washington, DC","Fabulous Studio near Logan, Scott & Thomas Circles with rooftop deck and pool, utilities included.  - Fabulous studio with rooftop deck and pool in Logan Circle Area. Utilities Included! This updated studio is not to be missed. Separate kitchen area.",1 Unit Available,Studio,"$1,650",399 sqft
1420 N Street NW #511,"1420 N Street Northwest, Washington, DC","Fabulous Studio near Logan, Scott & Thomas Circles with rooftop deck and pool, utilities included.  - Fabulous studio with rooftop deck and pool in Logan Circle Area. Utilities Included! This updated studio is not to be missed. Separate kitchen area.",1 Unit Available,1 Bedroom,Ask,NA
"3333 N Street, NW #7","3333 N Street Northwest, Washington, DC","3333 N Street, NW #7 Available 10/01/20 $3545 / 2br - 1233ft2 - 2.5 baths Georgetown Condo - Amazing Light, Fireplace, Parking, Deck (3333 N Street, N.W.",1 Unit Available,2 Bedrooms,"$3,545",NA
"1800 R Street, NW #304","1800 R Street Northwest, Washington, DC","Excellent location.  Large 1 bed/1 bath in Dupont Circle - Large 1 bed 1 bath in Dupont Circle, private and lots of natural light. Bamboo wood floors throughout. large Container Store closet,  Washer/Dryer in the unit.",1 Unit Available,Studio,Ask,NA
"1800 R Street, NW #304","1800 R Street Northwest, Washington, DC","Excellent location.  Large 1 bed/1 bath in Dupont Circle - Large 1 bed 1 bath in Dupont Circle, private and lots of natural light. Bamboo wood floors throughout. large Container Store closet,  Washer/Dryer in the unit.",1 Unit Available,1 Bedroom,"$2,350",879 sqft
"522 21ST STREET, NW 613","522 21st Street Northwest, Washington, DC","Monroe House Condo (Foggy Bottom) - Sunny one-bedroom with open layout, newly renovated kitchen, granite countertop, and newly renovated bathroom with marble tile.  Generous closet space, high ceilings, and hardwood floors.",1 Unit Available,Studio,Ask,NA
"522 21ST STREET, NW 613","522 21st Street Northwest, Washington, DC","Monroe House Condo (Foggy Bottom) - Sunny one-bedroom with open layout, newly renovated kitchen, granite countertop, and newly renovated bathroom with marble tile.  Generous closet space, high ceilings, and hardwood floors.",1 Unit Available,1 Bedroom,"$2,000",505 sqft
617 Jefferson St NW #202,"617 Jefferson Street NW, Washington, DC","617 Jefferson St NW #202 Available 11/01/20 Spacious 2 BD, 1.5 BA Off Revitalized Kennedy St in North Petworth! - Welcome home to your spacious 2 BD 1.5 BA with open floor plan and large den.",1 Unit Available,2 Bedrooms,"$1,900",NA
4120 14th St NW #31,"4120 14th Street Northwest, Washington, DC",4120 14th St NW #31 Available 05/07/20 Captivating One Bed + Den in Columbia Heights! - Enter this bright and modern home and you'll immediately notice the open floor plan design and the pristine updated kitchen with stainless steel appliances and a ,1 Unit Available,1 Bedroom,"$1,650",700 sqft
1424 STAPLES STREET NE,"1424 Staples Street Northeast, Washington, DC","Spacious main level 2 bedroom  features hardwood and ceramic tile floors, exposed brick, exit to rear  and shared paid laundry for use by all tenants.",1 Unit Available,1 Bedroom,Ask,NA
1424 STAPLES STREET NE,"1424 Staples Street Northeast, Washington, DC","Spacious main level 2 bedroom  features hardwood and ceramic tile floors, exposed brick, exit to rear  and shared paid laundry for use by all tenants.",1 Unit Available,2 Bedrooms,"$1,550",950 sqft
3472 SUMMIT COURT NE,"3472 Summit Court Northeast, Washington, DC","FORT LINCOLN RENTAL:  This 2 BR (one-level) Townhome is LIGHT-FILLED, Rare Find -- FOR RENT in Fort Lincoln NE DC: This is a uniquely designed 2 bedroom, 2 bathroom, spacious townhome.",1 Unit Available,2 Bedrooms,"$2,100",963 sqft
